,PB Cycle,Idea #,Committee,Project Title,Project Description,Project Status,Idea Submitter,Location,Latitude,Longitude,Entities
0,PB1 (October 2014-April 2015),C1,Culture & Community,"Renovate the O'Connell Library; including the rug, floor, tables and a new air conditioner",This is needed because the library is a very active place and the furniture is worn out.,"This project made it to the ballot, but didn't receive enough votes to win funding.",Yan,"48 Sixth Street
(42.3704669999999, -71.084961)",42.3704669999999,-71.08496099999999,"floor,O'Connell Library,rug,air conditioner,tables"
1,PB1 (October 2014-April 2015),C2,Culture & Community,New furniture for the O'Connell Library,"The library needs new furniture and maybe a play area for the kids like the main library on Broadway Street. There are not many programs and places for the kids to play when we compare to the areas in Cambridgeport and Inman Square, etc...","This project made it to the ballot, but didn't receive enough votes to win funding.",Keniya,"Otis Street
(42.3704329999999, -71.0847749999999)",42.3704329999999,-71.08477499999991,"furniture,O'Connell Library"
2,PB1 (October 2014-April 2015),C3,Culture & Community,"Renovate the Cambridge Public Library branches, especially the Central Square branch","The Main Library is great, but many branches are dark and old, especially the Central Square branch.  I'd like to take my kids there more often, but it's dark and stinky and I don't always feel safe and comfortable there.","Renovations for the O'Connell Library branch made it to the ballot, but didn't receive enough votes to win funding.",Rena,"45 Pearl Street
(42.363069, -71.1024699999999)",42.363069,-71.10246999999991,"branches,Cambridge Public Library,branch,Central Square"
3,PB1 (October 2014-April 2015),C4,Culture & Community,Main Library improvements,1. Free parking.  2. Paid parking to be longer than 2 hours (not enough for meetings).  3. Buses to library stop to be free.  4. Regular copying machine.,"Budget Delegates did not move this idea forward because only the copier was eligible for capital funds, and the Library director said that the copiers were purposely removed in favor of scanners.",Martha Older,"449 Broadway
(42.3741209, -71.1107166)",42.374120899999994,-71.1107166,Library improvements
4,PB1 (October 2014-April 2015),C5,Culture & Community,Improvements to all libraries,More computers.  Tax forms.  Tool check out. ,Budget Delegates did not rank this as a high priority project.,Martha Older,"Citywide
(42.366956, -71.1058539999999)",42.366956,-71.10585399999991,"Improvements,libraries"
5,PB1 (October 2014-April 2015),C6,Culture & Community,To add new furniture and other improvements to neighborhood library,The library on the corner of Sixth and Thorndike Street is very active and gets a lot of use. The library is an important part of our neighborhood.,"This project made it to the ballot, but didn't receive enough votes to win funding.",Nancy,"Otis Street
(42.3703769999999, -71.084877)",42.3703769999999,-71.084877,"furniture,improvements,neighborhood library"
6,PB1 (October 2014-April 2015),C7,Culture & Community,Add tools to the items eligible for checkout from the library,"Similar to renting books, dvd's, or e-readers from the library, it would be helpful to residents to be able to rent common tools that aren't necessary to own but are needed on occasion for projects at their house or apartment. Similar to books, you may only need use of it for a short time, so it would eliminate unnecessary expense or waste if it could be shared among the community.

(I'm not totally sure if this qualifies as a capital expense, but I think the initial addition of these items would be?)",Budget Delegates did not move this idea forward because it would require operating funds.,Jennifer Kiehling,"Broadway
(42.373821, -71.110296)",42.373821,-71.11029599999999,"tools,items,library,checkout"
7,PB1 (October 2014-April 2015),C8,Culture & Community,Longer weekend hours at the library,"Weekends are when most people want to use the library, but the hours tend to be shorter then. It cost something like $100 million, I heard, to reconstruct this library. The wonderful facility should get a lot more use than it does. But the biggest obstacle is that it just isn't open at the times that people want to use it.",Not eligible - would require operating funds. This idea was shared with the Library Director. ,Phineas Baxandall,"Broadway
(42.373823, -71.110363)",42.373823,-71.110363,library
8,PB1 (October 2014-April 2015),C9,Culture & Community,"Amphitheater at the library park for plays, music and movies",It would build a better community to have outdoor cultural activities that everyone could enjoy.,"This idea made it to the ballot (location was changed to Danehy Park), but didn't get enough votes to win funding.",Sy Danberg,"Broadway
(42.3731379999999, -71.109813)",42.3731379999999,-71.109813,"Amphitheater,library park,plays,movies,music"
9,PB1 (October 2014-April 2015),C10,Culture & Community,"""Daylighting"" the Main Library stairwell","Portions of the library are not accessible via the stairwell--perhaps a security issue or a design/programing slip--but it has been WONDERFUL to be able to use the stairs to get to the auditorium while the elevators have been under repair (and the world hasn't come to an end).  The new LEED requirements include credit for creating visible, inviting, usable stairs, and to support the City's commitment to green building, it would be great to retrofit the stairs to be usable at all times to reach ALL public portions of the building.",Not feasible - stairwell is locked due to safety concerns.,kmm,"449 Broadway
(42.373426, -71.111186)",42.373426,-71.111186,"Daylighting,stairwell,Main Library"
10,PB1 (October 2014-April 2015),C11,Culture & Community,Library Branch near Boardman Street. Or Bookmobile.,More Branch or Bookmobile Cambridge Public Library services would provide better access to library services.,Not eligible - would require operating funds.,Don Warner Saklad,"276 Broadway
(42.368285, -71.097577)",42.368285,-71.097577,"Library Branch,Boardman Street,Bookmobile"
11,PB1 (October 2014-April 2015),C32,Culture & Community,To share gaming spaces of cultural variety.,"It can promote a sense of community, and healthy learning and cultural environment. Make spaces for activities such as chess, volleyball, bocce, etc.",Budget Delegates did not rank this as a high priority project.,PB Assembly,"Garden Street
(42.3879019999999, -71.134055)",42.3879019999999,-71.134055,"gaming spaces,variety"
12,PB1 (October 2014-April 2015),C12,Culture & Community,Book houses with multilingual first books for children. Near schools and tot lots.,"Having your own books is important to beginning readers.  Providing free multilingual books in book houses on Cambridge streets near schools would provide first books for young readers who may be learning English and speaking other languages at home.  Suggest working with the Cambridge community engagement team which has a program to encourage parents reading to children at home.  For examples of book houses check existing ""take a book/leave a book houses"" on streets in Somerville and Boston - and build them lower so children can reach in and get a book.","This idea was split into two projects on the ballot. The first project, which won funding, was to purchase 300+ bilingual books for Cambridge children learning English through the Agenda for Children's Literacy Initiative.  The second, which did not receive enough votes to win funding, would have set up little free libraries/book houses around the city. ",Liz Layton,"Windsor Street
(42.365098, -71.094745)",42.365097999999996,-71.09474499999999,"Book houses,books,children,lots,tot,schools"
13,PB1 (October 2014-April 2015),C13,Culture & Community,A makerspace at the Cambridge Public Library,it's a way of engaging young people (especially) in Cambridge with the technology that is so important in our city and our world.,"Budget Delegates did not move this idea forward, because the Library Director said that they are already thinking about creating a makerspace.",,"Pemberton Street
(42.3904539999999, -71.1263679999999)",42.3904539999999,-71.1263679999999,"makerspace,Cambridge Public Library"
