,Count,Word
0,3,floor
1,2,o'connell library
2,1,rug
3,1,air conditioner
4,8,table
5,4,furniture
6,4,branch
7,7,cambridge public library
8,32,central square
9,1,library improvement
10,8,improvement
11,39,library
12,2,neighborhood library
13,6,tool
14,2,item
15,1,checkout
16,4,amphitheater
17,1,library park
18,1,play
19,1,movie
20,2,music
21,1,daylighting
22,1,stairwell
23,8,main library
24,1,library branch
25,1,boardman street
26,1,bookmobile
27,1,gaming space
28,1,variety
29,1,book house
30,8,book
31,9,child
32,7,lot
33,1,tot
34,32,school
35,2,makerspace
36,3,career resource
37,1,training kitchen
38,1,resource center
39,1,jackson garden
40,1,pod
41,4,land
42,102,cambridge
43,1,partner
44,1,developer
45,15,housing
46,37,city
47,1,day center
48,17,person
49,34,tree
50,1,infrastructure
51,2,foundry building
52,10,homeless shelter
53,1,broadband system
54,24,wifi
55,3,property
56,2,work
57,4,square
58,3,newtowne court
59,10,app
60,7,entrance
61,2,route
62,24,building
63,2,facility
64,6,family
65,2,information
66,1,money matter
67,1,permit application proces
68,1,fire dept
69,5,line
70,1,digitize property file
71,2,structure
72,1,art wall
73,2,graffitus
74,1,volunteer gap
75,1,tax
76,1,relationship
77,1,city/institution
78,1,equipment for the youth center
79,9,youth center
80,1,anywhere
81,3,mural
82,10,russell field
83,4,community
84,7,recycling
85,3,option
86,1,community availability
87,3,meeting
88,17,space
89,3,community space
90,1,group
91,1,organization
92,2,practice room
93,4,room
94,2,art display
95,2,performance
96,2,block party
97,1,police presentation
98,6,event
99,2,community repair
100,3,replacement
101,2,species
102,1,neighborhood discussion
103,1,topic
104,4,place
105,1,some
106,2,time
107,1,more
108,4,cambridge street
109,1,holiday lighting program
110,1,monument
111,1,civil war
112,1,twinkle light
113,26,lighting
114,1,fixture
115,1,architecture
116,11,city hall
117,2,curtain
118,20,harvard square
119,32,light
120,1,fresh pond golf course
121,1,billboard sign
122,15,front
123,1,video sign
124,3,community bulletin board
125,1,fund summertime activity
126,1,piano vent
127,1,vellucci plaza
128,8,laptop
129,5,community learning center
130,1,cookery school
131,8,kid
132,2,recording
133,1,dance
134,1,music space
135,2,studio
136,2,public
137,1,kiosk
138,2,post office
139,1,gift
140,1,wind
141,1,porter t station
142,3,sculpture
143,6,art
144,2,artist
145,3,flag
146,7,one
147,1,cambridgeport school
148,4,camera
149,1,city manager
150,1,council
151,2,staff
152,1,meet
153,1,cdd
154,1,wit
155,1,community photo booth
156,1,gordon ramsey
157,1,school lunch cook
158,3,school lunch
159,1,clas
160,1,cook
161,4,cp
162,1,health curriculum
163,1,amigos middle school
164,1,taxis
165,2,amount
166,1,collection
167,1,citizen park
168,64,park
169,1,performance venue
170,1,theater
171,1,sennot park
172,12,danehy
173,2,neglected public space
174,7,use
175,3,money
176,1,adult education
177,32,area
178,1,street performer
179,1,school supply
180,1,peabody parks school
181,1,mapping building
